Jenis Undi,Kod Parlimen,Nama Parlimen,Kod DUN,Nama DUN,KOD DM,Nama Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi,Jumlah Kertas Undi Yang Patut Berada Di Dalam Peti Undi (A),PH,PH_CALON,PH_UNDI,BN,BN_CALON,BN_UNDI,GS,GS_CALON,GS_UNDI,LAIN1,LAIN1_CALON,LAIN1_UNDI,LAIN2,LAIN2_CALON,LAIN2_UNDI,Jumlah Undian Oleh Pemilih,Bilangan Kertas Undi Yang Ditolak (C),Jumlah Kertas Undi Yang Dikeluarkan Kepada Pengundi Tetapi Tidak Dimasukkan Ke Dalam Peti Undi(D),Peratusan untuk PH (%),Peratusan untuk BN (%),Peratusan untuk PAS (%),Peratusan untuk PSM (%),Peratusan untuk BERJASA (%),Peratusan Undi Rosak (%)
UNDI POS,078,CAMERON HIGHLANDS,UNDI POS,UNDI POS,078/UNDI POS,UNDI POS,UNDI POS,1,362,DAP,MANOGARAN,28,MIC,DATO' SIVARRAAJH CHANDRAN,116,PAS,CIKGU WAN MAHADIR,30,PSM,SURESH KUMAR,3,BERJASA,USTAZ TAHIR,0,177,27,158,8,32,8,1,0,7
UNDI AWAL,078,CAMERON HIGHLANDS,UNDI AWAL,UNDI AWAL,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,207,DAP,MANOGARAN,4,MIC,DATO' SIVARRAAJH CHANDRAN,184,PAS,CIKGU WAN MAHADIR,13,PSM,SURESH KUMAR,1,BERJASA,USTAZ TAHIR,0,202,5,0,2,89,6,0,0,2
UNDI AWAL,078,CAMERON HIGHLANDS,UNDI AWAL,UNDI AWAL,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,12,DAP,MANOGARAN,1,MIC,DATO' SIVARRAAJH CHANDRAN,6,PAS,CIKGU WAN MAHADIR,5,PSM,SURESH KUMAR,0,BERJASA,USTAZ TAHIR,0,12,0,0,8,50,42,0,0,0
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/01,POS TERISU,SK TERISU,1,278,DAP,MANOGARAN,20,MIC,DATO' SIVARRAAJH CHANDRAN,218,PAS,CIKGU WAN MAHADIR,5,PSM,SURESH KUMAR,4,BERJASA,USTAZ TAHIR,4,251,27,0,7,78,2,1,1,10
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/02,POS TELANUK,SK TELANOK,1,536,DAP,MANOGARAN,13,MIC,DATO' SIVARRAAJH CHANDRAN,466,PAS,CIKGU WAN MAHADIR,9,PSM,SURESH KUMAR,10,BERJASA,USTAZ TAHIR,2,500,36,0,2,87,2,2,0,7
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/03,POS LEMOI,SK LEMOI,1,180,DAP,MANOGARAN,8,MIC,DATO' SIVARRAAJH CHANDRAN,158,PAS,CIKGU WAN MAHADIR,7,PSM,SURESH KUMAR,1,BERJASA,USTAZ TAHIR,0,174,6,0,4,88,4,1,0,3
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/04,POS MENSUN,SK MENSON,1,493,DAP,MANOGARAN,12,MIC,DATO' SIVARRAAJH CHANDRAN,432,PAS,CIKGU WAN MAHADIR,4,PSM,SURESH KUMAR,1,BERJASA,USTAZ TAHIR,1,450,43,0,2,88,1,0,0,9
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,1,272,DAP,MANOGARAN,194,MIC,DATO' SIVARRAAJH CHANDRAN,62,PAS,CIKGU WAN MAHADIR,5,PSM,SURESH KUMAR,3,BERJASA,USTAZ TAHIR,0,264,8,0,71,23,2,1,0,3
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,2,489,DAP,MANOGARAN,370,MIC,DATO' SIVARRAAJH CHANDRAN,82,PAS,CIKGU WAN MAHADIR,3,PSM,SURESH KUMAR,6,BERJASA,USTAZ TAHIR,4,465,13,11,76,17,1,1,1,3
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,3,468,DAP,MANOGARAN,343,MIC,DATO' SIVARRAAJH CHANDRAN,111,PAS,CIKGU WAN MAHADIR,2,PSM,SURESH KUMAR,5,BERJASA,USTAZ TAHIR,1,462,6,0,73,24,0,1,0,1
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/05,LEMBAH BERTAM,SJK(C) BERTAM VALLEY,4,471,DAP,MANOGARAN,331,MIC,DATO' SIVARRAAJH CHANDRAN,99,PAS,CIKGU WAN MAHADIR,9,PSM,SURESH KUMAR,14,BERJASA,USTAZ TAHIR,1,454,17,0,70,21,2,3,0,4
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,1,265,DAP,MANOGARAN,165,MIC,DATO' SIVARRAAJH CHANDRAN,77,PAS,CIKGU WAN MAHADIR,8,PSM,SURESH KUMAR,5,BERJASA,USTAZ TAHIR,1,256,9,0,62,29,3,2,0,3
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,2,542,DAP,MANOGARAN,404,MIC,DATO' SIVARRAAJH CHANDRAN,111,PAS,CIKGU WAN MAHADIR,2,PSM,SURESH KUMAR,17,BERJASA,USTAZ TAHIR,0,534,8,0,75,20,0,3,0,1
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,3,538,DAP,MANOGARAN,430,MIC,DATO' SIVARRAAJH CHANDRAN,78,PAS,CIKGU WAN MAHADIR,7,PSM,SURESH KUMAR,20,BERJASA,USTAZ TAHIR,0,535,3,0,80,14,1,4,0,1
UNDI BIASA,078,CAMERON HIGHLANDS,01,TANAH RATA,078/01/06,BANDAR RINGLET,SJK(C) CAMERON,4,513,DAP,MANOGARAN,414,MIC,DATO' SIVARRAAJH CHANDRAN,58,PAS,CIKGU WAN MAHADIR,12,PSM,SURESH KUMAR,28,BERJASA,USTAZ TAHIR,0,512,1,0,81,11,2,5,0,0
