UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,TOTAL VALID VOTE,TOTAL REJECTED VOTE,TOTAL UNRETURNED BALLOTS
P. 107_107/POSTAL VOTE_1,WILAYAH PERSEKUTUAN KUALA LUMPUR,POSTAL VOTE,P. 107,TITIWANGSA,,,107/POSTAL VOTE,UNDI POS,UNDI POS,1,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,357,PAS,OTHMAN BIN NGAH,MALE,,48,,405,,
P. 107_107/01_1,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,1,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,247,PAS,OTHMAN BIN NGAH,MALE,,64,,311,,
P. 107_107/01_2,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,2,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,271,PAS,OTHMAN BIN NGAH,MALE,,80,,351,,
P. 107_107/01_3,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,3,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,298,PAS,OTHMAN BIN NGAH,MALE,,75,,373,,
P. 107_107/01_4,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,4,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,288,PAS,OTHMAN BIN NGAH,MALE,,67,,355,,
P. 107_107/01_5,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,5,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,302,PAS,OTHMAN BIN NGAH,MALE,,73,,375,,
P. 107_107/01_6,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,6,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,319,PAS,OTHMAN BIN NGAH,MALE,,70,,389,,
P. 107_107/01_7,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,7,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,277,PAS,OTHMAN BIN NGAH,MALE,,70,,347,,
P. 107_107/01_8,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/01,JALAN PAHANG,,8,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,287,PAS,OTHMAN BIN NGAH,MALE,,69,,356,,
P. 107_107/02_1,WILAYAH PERSEKUTUAN KUALA LUMPUR,ORDINARY VOTE,P. 107,TITIWANGSA,,,107/02,KOMPLEK DAMAI,,1,,UMNO,DATO' SULEIMAN BIN MOHAMED,MALE,48,269,PAS,OTHMAN BIN NGAH,MALE,,53,,322,,
